Sample_name,Body_site,Biome
smpl700023226,Stool,Stool
smpl700023400,Saliva,Oral
smpl700023404,Tongue dorsum,Oral
smpl700023406,Hard palate,Oral
smpl700023410,Attached/Keratinized gingiva,Oral
smpl700023412,Palatine Tonsils,Oral
smpl700023414,Throat,Oral
smpl700023416,Supragingival plaque,Oral
smpl700023418,Subgingival plaque,Oral
smpl700023424,R_Retroauricular crease,Skin
smpl700023426,L_Antecubital fossa,Skin
smpl700023428,R_Antecubital fossa,Skin
smpl700023432,Vaginal introitus,Vaginal
smpl700023434,Mid vagina,Vaginal
smpl700023436,Posterior fornix,Vaginal
smpl700023457,Saliva,Oral
smpl700023461,Tongue dorsum,Oral
smpl700023463,Hard palate,Oral
smpl700023465,Buccal mucosa,Oral
smpl700023467,Attached/Keratinized gingiva,Oral
smpl700023469,Palatine Tonsils,Oral
smpl700023471,Throat,Oral
smpl700023473,Supragingival plaque,Oral
smpl700023475,Subgingival plaque,Oral
smpl700023477,Stool,Stool
smpl700023479,L_Retroauricular crease,Skin
smpl700023481,R_Retroauricular crease,Skin
smpl700023485,R_Antecubital fossa,Skin
smpl700023487,Anterior nares,Skin
smpl700023489,Vaginal introitus,Vaginal
smpl700023491,Mid vagina,Vaginal
smpl700023493,Posterior fornix,Vaginal
smpl700023605,Saliva,Oral
smpl700023607,Tongue dorsum,Oral
smpl700023609,Hard palate,Oral
smpl700023611,Buccal mucosa,Oral
smpl700023613,Attached/Keratinized gingiva,Oral
smpl700023615,Palatine Tonsils,Oral
smpl700023617,Throat,Oral
smpl700023619,Supragingival plaque,Oral
smpl700023621,Subgingival plaque,Oral
smpl700023625,R_Retroauricular crease,Skin
smpl700023627,L_Antecubital fossa,Skin
smpl700023631,Anterior nares,Skin
smpl700023633,Stool,Stool
smpl700024151,R_Retroauricular crease,Skin
smpl700024159,Vaginal introitus,Vaginal
smpl700024161,Mid vagina,Vaginal
smpl700024163,Posterior fornix,Vaginal
smpl700024169,Tongue dorsum,Oral
smpl700024171,Hard palate,Oral
smpl700024173,Stool,Stool
smpl700024175,Buccal mucosa,Oral
smpl700024177,Attached/Keratinized gingiva,Oral
smpl700024179,Palatine Tonsils,Oral
smpl700024181,Throat,Oral
smpl700024183,Supragingival plaque,Oral
smpl700024185,Subgingival plaque,Oral
smpl700024254,Stool,Stool
smpl700024258,R_Retroauricular crease,Skin
smpl700024260,L_Antecubital fossa,Skin
smpl700024262,R_Antecubital fossa,Skin
smpl700024264,Anterior nares,Skin
smpl700024266,Vaginal introitus,Vaginal
smpl700024268,Mid vagina,Vaginal
smpl700024270,Posterior fornix,Vaginal
smpl700024276,Tongue dorsum,Oral
smpl700024278,Hard palate,Oral
smpl700024280,Buccal mucosa,Oral
smpl700024282,Attached/Keratinized gingiva,Oral
smpl700024284,Palatine Tonsils,Oral
smpl700024286,Throat,Oral
smpl700024288,Supragingival plaque,Oral
smpl700024290,Subgingival plaque,Oral
smpl700024359,Saliva,Oral
smpl700024363,Tongue dorsum,Oral
smpl700024365,Hard palate,Oral
smpl700024367,Buccal mucosa,Oral
smpl700024369,Attached/Keratinized gingiva,Oral
smpl700024371,Palatine Tonsils,Oral
smpl700024373,Throat,Oral
smpl700024375,Supragingival plaque,Oral
smpl700024377,Subgingival plaque,Oral
smpl700024379,Stool,Stool
smpl700024391,Vaginal introitus,Vaginal
smpl700024393,Mid vagina,Vaginal
smpl700024395,Posterior fornix,Vaginal
smpl700024809,Stool,Stool
smpl700024811,Tongue dorsum,Oral
smpl700024813,Hard palate,Oral
smpl700024815,Buccal mucosa,Oral
smpl700024817,Attached/Keratinized gingiva,Oral
smpl700024819,Palatine Tonsils,Oral
smpl700024821,Throat,Oral
smpl700024823,Supragingival plaque,Oral
smpl700024825,Subgingival plaque,Oral
smpl700024827,Saliva,Oral
smpl700024833,R_Retroauricular crease,Skin
smpl700024839,Anterior nares,Skin
smpl700024841,Vaginal introitus,Vaginal
smpl700024843,Mid vagina,Vaginal
smpl700024845,Posterior fornix,Vaginal
smpl700032133,Stool,Stool
smpl700032145,Saliva,Oral
smpl700032151,Tongue dorsum,Oral
smpl700032154,Hard palate,Oral
smpl700032157,Buccal mucosa,Oral
smpl700032160,Attached/Keratinized gingiva,Oral
smpl700032163,Palatine Tonsils,Oral
smpl700032166,Throat,Oral
smpl700032169,Supragingival plaque,Oral
smpl700032172,Subgingival plaque,Oral
smpl700032175,L_Retroauricular crease,Skin
smpl700032178,R_Retroauricular crease,Skin
smpl700032181,L_Antecubital fossa,Skin
smpl700032184,R_Antecubital fossa,Skin
smpl700032187,Anterior nares,Skin
smpl700032414,Stool,Stool
smpl700032426,Saliva,Oral
smpl700032432,Tongue dorsum,Oral
smpl700032435,Hard palate,Oral
smpl700032438,Buccal mucosa,Oral
smpl700032441,Attached/Keratinized gingiva,Oral
smpl700032444,Palatine Tonsils,Oral
smpl700032447,Throat,Oral
smpl700032450,Supragingival plaque,Oral
smpl700032453,Subgingival plaque,Oral
smpl700032456,L_Retroauricular crease,Skin
smpl700032459,R_Retroauricular crease,Skin
smpl700032462,L_Antecubital fossa,Skin
smpl700032465,R_Antecubital fossa,Skin
smpl700032468,Anterior nares,Skin
smpl700032471,Vaginal introitus,Vaginal
smpl700032474,Mid vagina,Vaginal
smpl700032477,Posterior fornix,Vaginal
smpl700032653,Saliva,Oral
smpl700032657,Tongue dorsum,Oral
smpl700032659,Hard palate,Oral
smpl700032661,Buccal mucosa,Oral
smpl700032663,Attached/Keratinized gingiva,Oral
smpl700032665,Palatine Tonsils,Oral
smpl700032669,Supragingival plaque,Oral
smpl700032675,Mid vagina,Vaginal
smpl700032677,Posterior fornix,Vaginal
smpl700033202,Stool,Stool
smpl700033214,Saliva,Oral
smpl700033220,Tongue dorsum,Oral
smpl700033223,Hard palate,Oral
smpl700033226,Buccal mucosa,Oral
smpl700033229,Attached/Keratinized gingiva,Oral
smpl700033232,Palatine Tonsils,Oral
smpl700033235,Throat,Oral
smpl700033238,Supragingival plaque,Oral
smpl700033241,Subgingival plaque,Oral
smpl700033244,L_Retroauricular crease,Skin
smpl700033247,R_Retroauricular crease,Skin
smpl700033250,L_Antecubital fossa,Skin
smpl700033253,R_Antecubital fossa,Skin
smpl700033256,Anterior nares,Skin
smpl700033438,Stool,Stool
smpl700033450,Saliva,Oral
smpl700033455,Tongue dorsum,Oral
smpl700033459,Hard palate,Oral
smpl700033462,Buccal mucosa,Oral
smpl700033465,Attached/Keratinized gingiva,Oral
smpl700033468,Palatine Tonsils,Oral
smpl700033471,Throat,Oral
smpl700033473,Supragingival plaque,Oral
smpl700033477,Subgingival plaque,Oral
smpl700033480,L_Retroauricular crease,Skin
smpl700033483,R_Retroauricular crease,Skin
smpl700033485,L_Antecubital fossa,Skin
smpl700033489,R_Antecubital fossa,Skin
smpl700033492,Anterior nares,Skin
smpl700033495,Vaginal introitus,Vaginal
smpl700033498,Mid vagina,Vaginal
smpl700033501,Posterior fornix,Vaginal
smpl700034051,Saliva,Oral
smpl700034055,Tongue dorsum,Oral
smpl700034057,Hard palate,Oral
smpl700034059,Buccal mucosa,Oral
smpl700034061,Attached/Keratinized gingiva,Oral
smpl700034063,Palatine Tonsils,Oral
smpl700034065,Throat,Oral
smpl700034067,Supragingival plaque,Oral
smpl700034069,Subgingival plaque,Oral
smpl700034071,L_Retroauricular crease,Skin
smpl700034073,R_Retroauricular crease,Skin
smpl700034075,L_Antecubital fossa,Skin
smpl700034077,R_Antecubital fossa,Skin
smpl700034079,Anterior nares,Skin
smpl700034100,Stool,Stool
smpl700034108,Saliva,Oral
smpl700034112,Tongue dorsum,Oral
smpl700034114,Hard palate,Oral
smpl700034116,Buccal mucosa,Oral
smpl700034118,Attached/Keratinized gingiva,Oral
smpl700034120,Palatine Tonsils,Oral
smpl700034122,Throat,Oral
smpl700034124,Supragingival plaque,Oral
smpl700034126,Subgingival plaque,Oral
smpl700034128,L_Retroauricular crease,Skin
smpl700034130,R_Retroauricular crease,Skin
smpl700034132,L_Antecubital fossa,Skin
smpl700034134,R_Antecubital fossa,Skin
smpl700034136,Anterior nares,Skin
smpl700034641,Stool,Stool
smpl700034649,Saliva,Oral
smpl700034653,Tongue dorsum,Oral
smpl700034655,Hard palate,Oral
smpl700034657,Buccal mucosa,Oral
smpl700034659,Attached/Keratinized gingiva,Oral
smpl700034661,Palatine Tonsils,Oral
smpl700034678,Throat,Oral
smpl700034680,Supragingival plaque,Oral
smpl700034682,Subgingival plaque,Oral
smpl700034684,L_Retroauricular crease,Skin
smpl700034686,R_Retroauricular crease,Skin
smpl700034688,L_Antecubital fossa,Skin
smpl700034690,R_Antecubital fossa,Skin
smpl700034692,Anterior nares,Skin
smpl700034857,Stool,Stool
smpl700034865,Saliva,Oral
smpl700034869,Tongue dorsum,Oral
smpl700034871,Hard palate,Oral
smpl700034873,Buccal mucosa,Oral
smpl700034875,Attached/Keratinized gingiva,Oral
smpl700034877,Palatine Tonsils,Oral
smpl700034879,Throat,Oral
smpl700034881,Supragingival plaque,Oral
smpl700034883,Subgingival plaque,Oral
smpl700034885,L_Retroauricular crease,Skin
smpl700034887,R_Retroauricular crease,Skin
smpl700034889,L_Antecubital fossa,Skin
smpl700034891,R_Antecubital fossa,Skin
smpl700034893,Anterior nares,Skin
smpl700035176,Stool,Stool
smpl700035184,Saliva,Oral
smpl700035188,Tongue dorsum,Oral
smpl700035190,Hard palate,Oral
smpl700035196,Palatine Tonsils,Oral
smpl700035198,Throat,Oral
smpl700035204,L_Retroauricular crease,Skin
smpl700035206,R_Retroauricular crease,Skin
smpl700035210,R_Antecubital fossa,Skin
smpl700035212,Anterior nares,Skin
smpl700035256,Stool,Stool
smpl700035264,Saliva,Oral
smpl700035268,Tongue dorsum,Oral
smpl700035270,Hard palate,Oral
smpl700035272,Buccal mucosa,Oral
smpl700035274,Attached/Keratinized gingiva,Oral
smpl700035276,Palatine Tonsils,Oral
smpl700035278,Throat,Oral
smpl700035280,Supragingival plaque,Oral
smpl700035282,Subgingival plaque,Oral
smpl700035284,L_Retroauricular crease,Skin
smpl700035286,R_Retroauricular crease,Skin
smpl700035292,Anterior nares,Skin
smpl700035321,Stool,Stool
smpl700035329,Saliva,Oral
smpl700035333,Tongue dorsum,Oral
smpl700035335,Hard palate,Oral
smpl700035337,Buccal mucosa,Oral
smpl700035339,Attached/Keratinized gingiva,Oral
smpl700035341,Palatine Tonsils,Oral
smpl700035343,Throat,Oral
smpl700035345,Supragingival plaque,Oral
smpl700035347,Subgingival plaque,Oral
smpl700035349,L_Retroauricular crease,Skin
smpl700035351,R_Retroauricular crease,Skin
smpl700035359,L_Retroauricular crease,Skin
smpl700035361,R_Retroauricular crease,Skin
smpl700035365,R_Antecubital fossa,Skin
smpl700035367,Anterior nares,Skin
smpl700035392,Stool,Stool
smpl700035400,Stool,Stool
smpl700035408,Saliva,Oral
smpl700035412,Tongue dorsum,Oral
smpl700035414,Hard palate,Oral
smpl700035416,Buccal mucosa,Oral
smpl700035418,Attached/Keratinized gingiva,Oral
smpl700035420,Palatine Tonsils,Oral
smpl700035422,Throat,Oral
smpl700035424,Supragingival plaque,Oral
smpl700035426,Subgingival plaque,Oral
smpl700035428,L_Retroauricular crease,Skin
smpl700035436,Anterior nares,Skin
smpl700035594,Stool,Stool
smpl700035605,Saliva,Oral
smpl700035609,Tongue dorsum,Oral
smpl700035611,Hard palate,Oral
smpl700035613,Attached/Keratinized gingiva,Oral
smpl700035615,Buccal mucosa,Oral
smpl700035617,Palatine Tonsils,Oral
smpl700035619,Throat,Oral
smpl700035621,Supragingival plaque,Oral
smpl700035623,Subgingival plaque,Oral
smpl700035627,R_Retroauricular crease,Skin
smpl700035629,L_Antecubital fossa,Skin
smpl700035631,R_Antecubital fossa,Skin
smpl700035633,Anterior nares,Skin
smpl700035657,Stool,Stool
smpl700035665,Saliva,Oral
smpl700035669,Tongue dorsum,Oral
smpl700035671,Hard palate,Oral
smpl700035673,Buccal mucosa,Oral
smpl700035675,Attached/Keratinized gingiva,Oral
smpl700035677,Palatine Tonsils,Oral
smpl700035679,Throat,Oral
smpl700035681,Supragingival plaque,Oral
smpl700035683,Subgingival plaque,Oral
smpl700035685,L_Retroauricular crease,Skin
smpl700035687,R_Retroauricular crease,Skin
smpl700035689,L_Antecubital fossa,Skin
smpl700035691,R_Antecubital fossa,Skin
smpl700035693,Anterior nares,Skin
smpl700035697,Mid vagina,Vaginal
smpl700035953,Stool,Stool
smpl700035961,Saliva,Oral
smpl700035965,Tongue dorsum,Oral
smpl700035967,Hard palate,Oral
smpl700035969,Buccal mucosa,Oral
smpl700035971,Attached/Keratinized gingiva,Oral
smpl700035973,Palatine Tonsils,Oral
smpl700035975,Throat,Oral
smpl700035977,Supragingival plaque,Oral
smpl700035979,Subgingival plaque,Oral
smpl700035981,L_Retroauricular crease,Skin
smpl700035983,R_Retroauricular crease,Skin
smpl700035985,L_Antecubital fossa,Skin
smpl700035987,R_Antecubital fossa,Skin
smpl700035989,Anterior nares,Skin
smpl700037010,Vaginal introitus,Vaginal
smpl700037012,Mid vagina,Vaginal
smpl700037014,Posterior fornix,Vaginal
smpl700037018,L_Retroauricular crease,Skin
smpl700037022,L_Antecubital fossa,Skin
smpl700037024,R_Antecubital fossa,Skin
smpl700037026,Stool,Stool
smpl700037092,Saliva,Oral
smpl700037118,R_Antecubital fossa,Skin
smpl700037165,L_Retroauricular crease,Skin
smpl700037167,R_Retroauricular crease,Skin
smpl700037171,R_Antecubital fossa,Skin
smpl700037325,L_Retroauricular crease,Skin
smpl700037327,R_Retroauricular crease,Skin
smpl700037331,R_Antecubital fossa,Skin
smpl700037379,L_Retroauricular crease,Skin
smpl700037381,R_Retroauricular crease,Skin
smpl700037383,L_Antecubital fossa,Skin
smpl700037385,R_Antecubital fossa,Skin
smpl700037427,L_Retroauricular crease,Skin
smpl700037429,R_Retroauricular crease,Skin
smpl700037431,L_Antecubital fossa,Skin
smpl700037433,R_Antecubital fossa,Skin
smpl700037435,Anterior nares,Skin
smpl700037651,L_Retroauricular crease,Skin
smpl700037653,R_Retroauricular crease,Skin
smpl700037773,Throat,Oral
smpl700037779,L_Retroauricular crease,Skin
smpl700037781,R_Retroauricular crease,Skin
smpl700037918,L_Retroauricular crease,Skin
smpl700037920,R_Retroauricular crease,Skin
smpl700037922,L_Antecubital fossa,Skin
smpl700037924,R_Antecubital fossa,Skin
smpl700037969,L_Retroauricular crease,Skin
smpl700037971,R_Retroauricular crease,Skin
smpl700037977,Anterior nares,Skin
smpl700037999,Throat,Oral
smpl700038179,L_Retroauricular crease,Skin
smpl700038211,Throat,Oral
smpl700038306,L_Retroauricular crease,Skin
smpl700038318,Mid vagina,Vaginal
smpl700038322,Stool,Stool
smpl700038500,Saliva,Oral
smpl700038504,Tongue dorsum,Oral
smpl700038506,Hard palate,Oral
smpl700038508,Buccal mucosa,Oral
smpl700038510,Attached/Keratinized gingiva,Oral
smpl700038512,Palatine Tonsils,Oral
smpl700038514,Throat,Oral
smpl700038516,Supragingival plaque,Oral
smpl700038518,Subgingival plaque,Oral
smpl700038520,Stool,Stool
smpl700038522,L_Retroauricular crease,Skin
smpl700038524,R_Retroauricular crease,Skin
smpl700038526,L_Antecubital fossa,Skin
smpl700038530,Anterior nares,Skin
smpl700038552,Tongue dorsum,Oral
smpl700038554,Hard palate,Oral
smpl700038556,Buccal mucosa,Oral
smpl700038558,Attached/Keratinized gingiva,Oral
smpl700038560,Palatine Tonsils,Oral
smpl700038562,Throat,Oral
smpl700038564,Supragingival plaque,Oral
smpl700038566,Subgingival plaque,Oral
smpl700038568,L_Retroauricular crease,Skin
smpl700038570,R_Retroauricular crease,Skin
smpl700038572,L_Antecubital fossa,Skin
smpl700038574,R_Antecubital fossa,Skin
smpl700038576,Anterior nares,Skin
smpl700038578,Stool,Stool
smpl700038708,Tongue dorsum,Oral
smpl700038710,Hard palate,Oral
smpl700038712,Buccal mucosa,Oral
smpl700038714,Attached/Keratinized gingiva,Oral
smpl700038716,Palatine Tonsils,Oral
smpl700038720,Supragingival plaque,Oral
smpl700038722,Subgingival plaque,Oral
smpl700038724,L_Retroauricular crease,Skin
smpl700038726,R_Retroauricular crease,Skin
smpl700038728,L_Antecubital fossa,Skin
smpl700038730,R_Antecubital fossa,Skin
smpl700038734,Vaginal introitus,Vaginal
smpl700038738,Posterior fornix,Vaginal
smpl700038740,Stool,Stool
smpl700038924,Tongue dorsum,Oral
smpl700038926,Hard palate,Oral
smpl700038928,Buccal mucosa,Oral
smpl700038930,Attached/Keratinized gingiva,Oral
smpl700038932,Palatine Tonsils,Oral
smpl700038934,Throat,Oral
smpl700038936,Supragingival plaque,Oral
smpl700038938,Subgingival plaque,Oral
smpl700038940,L_Retroauricular crease,Skin
smpl700038942,R_Retroauricular crease,Skin
smpl700038948,Anterior nares,Skin
smpl700038950,Stool,Stool
smpl700038968,L_Retroauricular crease,Skin
smpl700038970,R_Retroauricular crease,Skin
smpl700038972,L_Antecubital fossa,Skin
smpl700038974,R_Antecubital fossa,Skin
smpl700038976,Anterior nares,Skin
smpl700038978,Stool,Stool
smpl700038980,Saliva,Oral
smpl700038984,Tongue dorsum,Oral
smpl700038986,Hard palate,Oral
smpl700038988,Buccal mucosa,Oral
smpl700038990,Attached/Keratinized gingiva,Oral
smpl700038992,Palatine Tonsils,Oral
smpl700038994,Throat,Oral
smpl700038996,Supragingival plaque,Oral
smpl700038998,Subgingival plaque,Oral
smpl700095429,Stool,Stool
smpl700095437,Saliva,Oral
smpl700095441,Tongue dorsum,Oral
smpl700095443,Hard palate,Oral
smpl700095445,Buccal mucosa,Oral
smpl700095447,Attached/Keratinized gingiva,Oral
smpl700095449,Palatine Tonsils,Oral
smpl700095451,Throat,Oral
smpl700095453,Supragingival plaque,Oral
smpl700095455,Subgingival plaque,Oral
smpl700095457,L_Retroauricular crease,Skin
smpl700095459,R_Retroauricular crease,Skin
smpl700095461,L_Antecubital fossa,Skin
smpl700095463,R_Antecubital fossa,Skin
smpl700095465,Anterior nares,Skin
smpl700095543,Stool,Stool
smpl700095551,Saliva,Oral
smpl700095555,Tongue dorsum,Oral
smpl700095557,Hard palate,Oral
smpl700095559,Buccal mucosa,Oral
smpl700095561,Attached/Keratinized gingiva,Oral
smpl700095563,Palatine Tonsils,Oral
smpl700095565,Throat,Oral
smpl700095567,Supragingival plaque,Oral
smpl700095569,Subgingival plaque,Oral
smpl700095571,L_Retroauricular crease,Skin
smpl700095575,L_Antecubital fossa,Skin
smpl700095577,R_Antecubital fossa,Skin
smpl700095579,Anterior nares,Skin
smpl700095736,Stool,Stool
smpl700095744,Saliva,Oral
smpl700095748,Tongue dorsum,Oral
smpl700095750,Hard palate,Oral
smpl700095752,Buccal mucosa,Oral
smpl700095754,Attached/Keratinized gingiva,Oral
smpl700095756,Palatine Tonsils,Oral
smpl700095758,Throat,Oral
smpl700095760,Supragingival plaque,Oral
smpl700095762,Subgingival plaque,Oral
smpl700095764,L_Retroauricular crease,Skin
smpl700095766,R_Retroauricular crease,Skin
smpl700095768,L_Antecubital fossa,Skin
smpl700095770,R_Antecubital fossa,Skin
smpl700095772,Anterior nares,Skin
smpl700095793,Stool,Stool
smpl700095801,Saliva,Oral
smpl700095809,Buccal mucosa,Oral
smpl700095811,Attached/Keratinized gingiva,Oral
smpl700095813,Palatine Tonsils,Oral
smpl700095815,Throat,Oral
smpl700095817,Supragingival plaque,Oral
smpl700095819,Subgingival plaque,Oral
smpl700095823,R_Retroauricular crease,Skin
smpl700095850,Stool,Stool
smpl700095858,Saliva,Oral
smpl700095862,Tongue dorsum,Oral
smpl700095864,Hard palate,Oral
smpl700095866,Buccal mucosa,Oral
smpl700095870,Palatine Tonsils,Oral
smpl700095872,Throat,Oral
smpl700095874,Supragingival plaque,Oral
smpl700095876,Subgingival plaque,Oral
smpl700095880,R_Retroauricular crease,Skin
smpl700095882,L_Antecubital fossa,Skin
smpl700095884,R_Antecubital fossa,Skin
smpl700095886,Anterior nares,Skin
smpl700095975,Stool,Stool
smpl700095983,Saliva,Oral
smpl700095987,Tongue dorsum,Oral
smpl700095989,Hard palate,Oral
smpl700095993,Attached/Keratinized gingiva,Oral
smpl700095995,Palatine Tonsils,Oral
smpl700095997,Throat,Oral
smpl700096001,Subgingival plaque,Oral
smpl700096011,Anterior nares,Skin
smpl700096066,Stool,Stool
smpl700096074,Saliva,Oral
smpl700096078,Tongue dorsum,Oral
smpl700096080,Hard palate,Oral
smpl700096082,Buccal mucosa,Oral
smpl700096086,Palatine Tonsils,Oral
smpl700096088,Throat,Oral
smpl700096090,Supragingival plaque,Oral
smpl700096092,Subgingival plaque,Oral
smpl700096096,R_Retroauricular crease,Skin
smpl700096123,Stool,Stool
smpl700096131,Saliva,Oral
smpl700096135,Tongue dorsum,Oral
smpl700096137,Hard palate,Oral
smpl700096139,Buccal mucosa,Oral
smpl700096141,Attached/Keratinized gingiva,Oral
smpl700096143,Palatine Tonsils,Oral
smpl700096145,Throat,Oral
smpl700096147,Supragingival plaque,Oral
smpl700096149,Subgingival plaque,Oral
smpl700096153,R_Retroauricular crease,Skin
smpl700096180,Stool,Stool
smpl700096188,Saliva,Oral
smpl700096192,Tongue dorsum,Oral
smpl700096194,Hard palate,Oral
smpl700096196,Buccal mucosa,Oral
smpl700096198,Attached/Keratinized gingiva,Oral
smpl700096200,Palatine Tonsils,Oral
smpl700096202,Throat,Oral
smpl700096204,Supragingival plaque,Oral
smpl700096206,Subgingival plaque,Oral
smpl700096210,R_Retroauricular crease,Skin
smpl700096214,R_Antecubital fossa,Skin
smpl700096216,Anterior nares,Skin
smpl700096285,Stool,Stool
smpl700096293,Saliva,Oral
smpl700096297,Tongue dorsum,Oral
smpl700096301,Buccal mucosa,Oral
smpl700096303,Attached/Keratinized gingiva,Oral
smpl700096305,Palatine Tonsils,Oral
smpl700096307,Throat,Oral
smpl700096309,Supragingival plaque,Oral
smpl700096311,Subgingival plaque,Oral
smpl700096437,Stool,Stool
smpl700096445,Saliva,Oral
smpl700096449,Tongue dorsum,Oral
smpl700096451,Hard palate,Oral
smpl700096453,Buccal mucosa,Oral
smpl700096457,Palatine Tonsils,Oral
smpl700096459,Throat,Oral
smpl700096461,Supragingival plaque,Oral
smpl700096463,Subgingival plaque,Oral
smpl700096467,R_Retroauricular crease,Skin
smpl700096473,Anterior nares,Skin
smpl700096530,Stool,Stool
smpl700096538,Saliva,Oral
smpl700096542,Tongue dorsum,Oral
smpl700096544,Hard palate,Oral
smpl700096546,Buccal mucosa,Oral
smpl700096548,Attached/Keratinized gingiva,Oral
smpl700096550,Palatine Tonsils,Oral
smpl700096552,Throat,Oral
